Código Unico Territorial,Comuna,Accesibilidad,Provincia,Región,,,
01101,Iquique,1,Iquique,Tarapaca,,,
01107,Alto Hospicio,1,Iquique,Tarapaca,,1,Accesible
01401,Pozo Almonte,2,Tamarugal,Tarapaca,,2,Medianamente
01402,Camiña,3,Tamarugal,Tarapaca,,,No Accesible
01403,Colchane,3,Tamarugal,Tarapaca,,,
01404,Huara,1,Tamarugal,Tarapaca,,,
01405,Pica,2,Tamarugal,Tarapaca,,,
02101,Antofagasta,1,Antofagasta,Antofagasta,,,
02102,Mejillones,1,Antofagasta,Antofagasta,,,
02103,Sierra Gorda,1,Antofagasta,Antofagasta,,,
02104,Taltal,2,Antofagasta,Antofagasta,,,
02201,Calama,1,El Loa,Antofagasta,,,
02202,Ollague,3,El Loa,Antofagasta,,,
02203,San Pedro de Atacama,2,El Loa,Antofagasta,,,
02301,Tocopilla,1,Tocopilla,Antofagasta,,,
02302,María Elena,1,Tocopilla,Antofagasta,,,
03101,Copiapó,1,Copiapo,Atacama,,,
03102,Caldera,1,Copiapo,Atacama,,,
03103,Tierra Amarilla,1,Copiapo,Atacama,,,
03201,Chañaral,1,Chañaral,Atacama,,,
03202,Diego de Almagro,1,Chañaral,Atacama,,,
03301,Vallenar,1,Huasco,Atacama,,,
03302,Alto del Carmen,2,Huasco,Atacama,,,
03303,Freirina,2,Huasco,Atacama,,,
03304,Huasco,2,Huasco,Atacama,,,
04101,La Serena,1,Elqui,Coquimbo,,,
04102,Coquimbo,1,Elqui,Coquimbo,,,
04103,Andacollo,2,Elqui,Coquimbo,,,
04104,La Higuera,1,Elqui,Coquimbo,,,
04105,Paihuano,3,Elqui,Coquimbo,,,
04106,Vicuña,2,Elqui,Coquimbo,,,
04201,Illapel,2,Choapa,Coquimbo,,,
04202,Canela,1,Choapa,Coquimbo,,,
04203,Los Vilos,1,Choapa,Coquimbo,,,
04204,Salamanca,2,Choapa,Coquimbo,,,
04301,Ovalle,1,Limari,Coquimbo,,,
04302,Combarbalá,3,Limari,Coquimbo,,,
04303,Monte Patria,3,Limari,Coquimbo,,,
04304,Punitaqui,3,Limari,Coquimbo,,,
04305,Río Hurtado,3,Limari,Coquimbo,,,
05101,Valparaíso,1,Valparaiso,Valparaiso,,,
05102,Casablanca,1,Valparaiso,Valparaiso,,,
05103,Concón,1,Valparaiso,Valparaiso,,,
05104,Juan Fernández,3,Valparaiso,Valparaiso,,,
05105,Puchuncaví,1,Valparaiso,Valparaiso,,,
05106,Quilpué,1,Valparaiso,Valparaiso,,,
05107,Quintero,1,Valparaiso,Valparaiso,,,
05108,Villa Alemana,1,Valparaiso,Valparaiso,,,
05109,Viña del Mar,1,Valparaiso,Valparaiso,,,
05201,Isla de Pascua,3,Isla de Pascua,Valparaiso,,,
05301,Los Andes,1,Los Andes,Valparaiso,,,
05302,Calle Larga,1,Los Andes,Valparaiso,,,
05303,Rinconada,1,Los Andes,Valparaiso,,,
05304,San Esteban,1,Los Andes,Valparaiso,,,
05401,La Ligua,1,Petorca,Valparaiso,,,
05402,Cabildo,2,Petorca,Valparaiso,,,
05403,Papudo,1,Petorca,Valparaiso,,,
05404,Petorca,3,Petorca,Valparaiso,,,
05405,Zapallar,1,Petorca,Valparaiso,,,
05501,Quillota,1,Quillota,Valparaiso,,,
05502,Calera,1,Quillota,Valparaiso,,,
05503,Hijuelas,1,Quillota,Valparaiso,,,
05504,La Cruz,1,Quillota,Valparaiso,,,
05505,Limache,1,Quillota,Valparaiso,,,
05506,Nogales,1,Quillota,Valparaiso,,,
05507,Olmué,1,Quillota,Valparaiso,,,
05601,San Antonio,1,San Antonio,Valparaiso,,,
05602,Algarrobo,1,San Antonio,Valparaiso,,,
05603,Cartagena,1,San Antonio,Valparaiso,,,
