"","RBD","NOM_RBD","MRUN","RUT_SOSTENEDOR","COD_REG_RBD","COD_COM_RBD","NOM_COM_RBD","DEPENDENCIA.x","RURAL_RBD","CONVENIO_PIE","LATITUD","LONGITUD","ORI_RELIGIOSA","PAGO_MATRICULA","PAGO_MENSUAL","NOMBRE_ACCESIBILIDAD.x","NECESIDAD_AVION","PROM_LECT","PROM_MAT","MAT_TOTAL","RED_DE_ESCUELAS_LIDERES.x","GRUPO","NUMERO_BENEFICIADOS","MONTO_SEP","Grupo","Matricula_Comuna","Matricula_Grupo","PAGO_MATRICULA_2","PAGO_MENSUAL_2","cluster.x","CodGrupo","cluster.y","NOMBRE_ACCESIBILIDAD.y","RED_DE_ESCUELAS_LIDERES.y","DEPENDENCIA.y","Monto_Escuela","MATRICULA_TOTAL","MONTO_ALUMNO","N_TOTAL_COLEGIOS","idGrupo"
"1",4,"LICEO OCTAVIO PALMA PEREZ",NA,69010100,15,15101,"ARICA","Municipal","URBANO",1,-18.47424251,-70.30826388,"Laica","GRATUITO","GRATUITO","Accesible",1,284,282,1200,0,"69010100",1012,18130449.315,NA,42720,13604,0,0,"1","1-Accesible-0-Municipal","1","Accesible",0,"Municipal",1322372240.28,51492,25681.1201794454,43,1
"2",5,"JOVINA NARANJO FERNANDEZ",NA,69010100,15,15101,"ARICA","Municipal","URBANO",1,-18.47690366,-70.31345472,"Otro","GRATUITO","GRATUITO","Medianamente",1,270,272,907,0,"69010100",581,20817768.8775,NA,42720,13604,0,0,"2","2-Medianamente-0-Municipal","2","Medianamente",0,"Municipal",4794671239.00625,217202,22074.7103572078,418,17
"3",8,"COLEGIO INTEGRADO EDUARDO FREI MONTALVA",NA,69010100,15,15101,"ARICA","Municipal","URBANO",1,-18.4824905,-70.31757936,"Católica","GRATUITO","GRATUITO","No Accesible",1,227,232,646,0,"69010100",505,9047309.19375,NA,42720,13604,0,0,"2","2-No Accesible-0-Municipal","2","No Accesible",0,"Municipal",4756192501.35875,230084,20671.5482230783,432,21
"4",9,"ESCUELA REPUBLICA DE ISRAEL",NA,69010100,15,15101,"ARICA","Municipal","URBANO",1,-18.48684946,-70.30245013,"Católica","GRATUITO","GRATUITO","Accesible",1,NA,NA,1466,0,"69010100",1128,20208643.11,NA,42720,13604,0,0,"1","1-Accesible-0-Municipal","1","Accesible",0,"Municipal",1322372240.28,51492,25681.1201794454,43,1
"5",10,"ESCUELA REPUBLICA DE FRANCIA",NA,69010100,15,15101,"ARICA","Municipal","URBANO",1,-18.47436432,-70.3090436,"Católica","GRATUITO","GRATUITO","Medianamente",1,NA,NA,186,0,"69010100",156,2794812.345,NA,42720,13604,0,0,"3","3-Medianamente-0-Municipal","3","Medianamente",0,"Municipal",1694925487.55125,100738,16825.0857427311,1118,32
"6",11,"ESC. GRAL. PEDRO LAGOS MARCHANT",NA,69010100,15,15101,"ARICA","Municipal","URBANO",1,-18.49101644,-70.31155509,"Laica","GRATUITO","GRATUITO","No Accesible",1,NA,NA,414,0,"69010100",376,6736214.37,NA,42720,13604,0,0,"2","2-No Accesible-0-Municipal","2","No Accesible",0,"Municipal",4756192501.35875,230084,20671.5482230783,432,21
"7",12,"ESCUELA GRAL JOSE MIGUEL CARRERA",NA,69010100,15,15101,"ARICA","Municipal","URBANO",1,-18.49192572,-70.29396507,"Laica","GRATUITO","GRATUITO","Accesible",1,NA,NA,309,0,"69010100",258,9244379.295,NA,42720,13604,0,0,"2","2-Accesible-0-Municipal","2","Accesible",0,"Municipal",4266015740.69125,206556,20653.0710349312,397,13
"8",13,"ESCUELA MANUEL RODRIGUEZ ERDOYZA",NA,69010100,15,15101,"ARICA","Municipal","URBANO",1,-18.48105547,-70.28479525,"Laica","GRATUITO","GRATUITO","Medianamente",1,NA,NA,279,0,"69010100",260,4658020.575,NA,42720,13604,0,0,"3","3-Medianamente-0-Municipal","3","Medianamente",0,"Municipal",1694925487.55125,100738,16825.0857427311,1118,32
"9",14,"ESCUELA ROMULO J. PENA MATURANA",NA,69010100,15,15101,"ARICA","Municipal","URBANO",1,-18.48123728,-70.2897649899999,"Laica","GRATUITO","GRATUITO","No Accesible",1,NA,NA,184,0,"69010100",159,2848558.73625,NA,42720,13604,0,0,"3","3-No Accesible-0-Municipal","3","No Accesible",0,"Municipal",1765725885.0225,101768,17350.5019753017,1112,38
"10",15,"LICEO ARTISTICO DR. JUAN NOE CREVANI",NA,69010100,15,15101,"ARICA","Municipal","URBANO",1,-18.47138503,-70.30035261,"Católica","GRATUITO","GRATUITO","Accesible",1,221,197,387,0,"69010100",312,5589624.69,NA,42720,13604,0,0,"2","2-Accesible-0-Municipal","2","Accesible",0,"Municipal",4266015740.69125,206556,20653.0710349312,397,13
"11",16,"ESCUELA REGIMIENTO RANCAGUA",NA,69010100,15,15101,"ARICA","Municipal","URBANO",1,-18.47483502,-70.3087831299999,"Laica","GRATUITO","GRATUITO","Medianamente",1,NA,NA,244,0,"69010100",194,3475599.9675,NA,42720,13604,0,0,"3","3-Medianamente-0-Municipal","3","Medianamente",0,"Municipal",1694925487.55125,100738,16825.0857427311,1118,32
"12",17,"ESCUELA SUBTTE. LUIS CRUZ MARTINEZ",NA,69010100,15,15101,"ARICA","Municipal","URBANO",1,-18.46726517,-70.29093645,"Católica","GRATUITO","GRATUITO","No Accesible",1,NA,NA,303,0,"69010100",263,4711766.96625,NA,42720,13604,0,0,"3","3-No Accesible-0-Municipal","3","No Accesible",0,"Municipal",1765725885.0225,101768,17350.5019753017,1112,38
"13",18,"ESC. COMTE. JUAN JOSE SAN MARTIN",NA,69010100,15,15101,"ARICA","Municipal","URBANO",1,-18.47667446,-70.28778894,"Católica","GRATUITO","GRATUITO","Accesible",1,NA,NA,379,0,"69010100",352,6306243.24,NA,42720,13604,0,0,"2","2-Accesible-0-Municipal","2","Accesible",0,"Municipal",4266015740.69125,206556,20653.0710349312,397,13
"14",19,"ESC. HUMBERTO VALENZUELA GARCIA",NA,69010100,15,15101,"ARICA","Municipal","URBANO",1,-18.47465942,-70.29190638,"Católica","GRATUITO","GRATUITO","Medianamente",1,NA,NA,351,0,"69010100",323,5786694.79125,NA,42720,13604,0,0,"2","2-Medianamente-0-Municipal","2","Medianamente",0,"Municipal",4794671239.00625,217202,22074.7103572078,418,17
"15",20,"ESCUELA TUCAPEL",NA,69010100,15,15101,"ARICA","Municipal","URBANO",1,-18.47982726,-70.29518383,"Laica","GRATUITO","GRATUITO","No Accesible",1,NA,NA,454,0,"69010100",406,14547356.565,NA,42720,13604,0,0,"2","2-No Accesible-0-Municipal","2","No Accesible",0,"Municipal",4756192501.35875,230084,20671.5482230783,432,21
"16",22,"ESCUELA GABRIELA MISTRAL",NA,69010100,15,15101,"ARICA","Municipal","URBANO",1,-18.44828584,-70.29064975,"Laica","GRATUITO","GRATUITO","Accesible",1,NA,NA,963,0,"69010100",842,15084820.4775,NA,42720,13604,0,0,"2","2-Accesible-0-Municipal","2","Accesible",0,"Municipal",4266015740.69125,206556,20653.0710349312,397,13
"17",25,"COLEGIO CENTENARIO DE ARICA",NA,69010100,15,15101,"ARICA","Municipal","URBANO",1,-18.43999942,-70.29338025,"Católica","GRATUITO","GRATUITO","Medianamente",1,NA,NA,565,0,"69010100",502,8993562.8025,NA,42720,13604,0,0,"2","2-Medianamente-0-Municipal","2","Medianamente",0,"Municipal",4794671239.00625,217202,22074.7103572078,418,17
"18",26,"ESCUELA REPUBLICA DE ARGENTINA",NA,69010100,15,15101,"ARICA","Municipal","URBANO",1,-18.47812123,-70.30403909,"Católica","GRATUITO","GRATUITO","No Accesible",1,NA,NA,172,0,"69010100",142,2543995.8525,NA,42720,13604,0,0,"3","3-No Accesible-0-Municipal","3","No Accesible",0,"Municipal",1765725885.0225,101768,17350.5019753017,1112,38
"19",27,"ESCUELA ESMERALDA",NA,69010100,15,15101,"ARICA","Municipal","URBANO",1,-18.48301851,-70.30853854,"Católica","GRATUITO","GRATUITO","Accesible",1,NA,NA,193,0,"69010100",171,3063544.30125,NA,42720,13604,0,0,"3","3-Accesible-0-Municipal","3","Accesible",0,"Municipal",1671461363.105,99590,16783.4256763229,1131,26
"20",28,"ESCUELA RICARDO SILVA ARRIAGADA",NA,69010100,15,15101,"ARICA","Municipal","URBANO",1,-18.48506517,-70.29439508,"Católica","GRATUITO","GRATUITO","Medianamente",1,NA,NA,790,0,"69010100",278,9960997.845,NA,42720,13604,0,0,"2","2-Medianamente-0-Municipal","2","Medianamente",0,"Municipal",4794671239.00625,217202,22074.7103572078,418,17
"21",29,"ESCUELA AMERICA",NA,69010100,15,15101,"ARICA","Municipal","URBANO",1,-18.47845172,-70.2830463,"Laica","GRATUITO","GRATUITO","No Accesible",1,NA,NA,509,0,"69010100",449,8044043.22375,NA,42720,13604,0,0,"2","2-No Accesible-0-Municipal","2","No Accesible",0,"Municipal",4756192501.35875,230084,20671.5482230783,432,21
"22",31,"ESCUELA DARIO SALAS DIAZ",NA,69010100,15,15101,"ARICA","Municipal","RURAL",1,-18.5006579,-70.25459141,"Laica","GRATUITO","GRATUITO","Accesible",1,NA,NA,414,0,"69010100",329,11788375.1475,NA,42720,13604,0,0,"2","2-Accesible-0-Municipal","2","Accesible",0,"Municipal",4266015740.69125,206556,20653.0710349312,397,13
"23",32,"LICEO AGRICOLA JOSE ABELARDO NUNEZ M.",NA,69010100,15,15101,"ARICA","Municipal","RURAL",1,-18.51926404,-70.17873778,"Laica","GRATUITO","GRATUITO","Medianamente",1,239,219,733,0,"69010100",509,9118971.04875,NA,42720,13604,0,0,"2","2-Medianamente-0-Municipal","2","Medianamente",0,"Municipal",4794671239.00625,217202,22074.7103572078,418,17
"24",33,"ESCUELA CARLOS CONDELL DE LA HAZA",NA,69010100,15,15101,"ARICA","Municipal","RURAL",1,-18.41711368,-70.22584879,"Católica","GRATUITO","GRATUITO","No Accesible",1,NA,NA,204,0,"69010100",170,3045628.8375,NA,42720,13604,0,0,"3","3-No Accesible-0-Municipal","3","No Accesible",0,"Municipal",1765725885.0225,101768,17350.5019753017,1112,38
"25",35,"ESCUELA GRAL. MANUEL BAQUEDANO",NA,69010100,15,15101,"ARICA","Municipal","RURAL",0,-18.45239984,-70.06769957,"Católica","GRATUITO","GRATUITO","Accesible",1,NA,NA,105,0,"69010100",63,1128674.21625,NA,42720,13604,0,0,"3","3-Accesible-0-Municipal","3","Accesible",0,"Municipal",1671461363.105,99590,16783.4256763229,1131,26
"26",36,"ESCUELA IGNACIO CARRERA PINTO",NA,69010100,15,15101,"ARICA","Municipal","URBANO",1,-18.49695274,-70.28397311,"Laica","GRATUITO","GRATUITO","Medianamente",1,NA,NA,290,0,"69010100",253,9065224.6575,NA,42720,13604,0,0,"2","2-Medianamente-0-Municipal","2","Medianamente",0,"Municipal",4794671239.00625,217202,22074.7103572078,418,17
"27",38,"ESCUELA ESPAÑA",NA,69010100,15,15101,"ARICA","Municipal","RURAL",1,-18.55881843,-70.1007266799999,"Católica","GRATUITO","GRATUITO","No Accesible",1,NA,NA,525,0,"69010100",450,16123917.375,NA,42720,13604,0,0,"2","2-No Accesible-0-Municipal","2","No Accesible",0,"Municipal",4756192501.35875,230084,20671.5482230783,432,21
"28",39,"ESCUELA PAMPA ALGODONAL",NA,69010100,15,15101,"ARICA","Municipal","RURAL",0,-18.57821289,-69.96516894,"Católica","GRATUITO","GRATUITO","Accesible",1,NA,NA,68,0,"69010100",23,412055.66625,NA,42720,13604,0,0,"3","3-Accesible-0-Municipal","3","Accesible",0,"Municipal",1671461363.105,99590,16783.4256763229,1131,26
"29",41,"ESCUELA VALLE DE CHACA",NA,69010100,15,15101,"ARICA","Municipal","RURAL",0,-18.82064308,-70.14037802,"Católica","GRATUITO","GRATUITO","Medianamente",1,NA,NA,28,0,"69010100",18,322478.3475,NA,42720,13604,0,0,"3","3-Medianamente-0-Municipal","3","Medianamente",0,"Municipal",1694925487.55125,100738,16825.0857427311,1118,32
"30",42,"ESCUELA MOLINOS LLUTA",NA,69010100,15,15101,"ARICA","Municipal","RURAL",0,-18.38174753,-69.94488303,"Laica","GRATUITO","GRATUITO","No Accesible",1,NA,NA,16,0,"69010100",11,197070.10125,NA,42720,13604,0,0,"3","3-No Accesible-0-Municipal","3","No Accesible",0,"Municipal",1765725885.0225,101768,17350.5019753017,1112,38
"31",45,"COLEGIO ITALIANO SANTA ANA",NA,70072800,15,15101,"ARICA","Particular Subvencionado","URBANO",0,-18.4830605,-70.31430183,"Católica","$1.000 A $10.000","GRATUITO","Accesible",1,285,264,928,0,"70072800",638,11430065.8725,NA,42720,2026,5000,0,"2","2-Accesible-0-Particular Subvencionado","2","Accesible",0,"Particular Subvencionado",27179668282.2612,186875,145443.040975311,294,14
"32",50,"COLEGIO ADVENTISTA DE ARICA",NA,65102261,15,15101,"ARICA","Particular Subvencionado","URBANO",1,-18.49332083,-70.27077135,"Otro","$1.000 A $10.000","$1.000 A $10.000","Medianamente",1,292,297,576,0,"65102261",473,16948028.7075,NA,42720,2192,5000,5000,"2","2-Medianamente-0-Particular Subvencionado","2","Medianamente",0,"Particular Subvencionado",25051218444.5013,174475,143580.561366965,280,18
"33",51,"ESCUELA PARTICULAR REPÚBLICA DEL ECUADOR",NA,76189122,15,15101,"ARICA","Particular Subvencionado","URBANO",0,-18.4002612,-70.3149836399999,"Laica","GRATUITO","GRATUITO","No Accesible",1,NA,NA,8,0,"76189122",8,143323.71,NA,42720,8,0,0,"3","3-No Accesible-0-Particular Subvencionado","3","No Accesible",0,"Particular Subvencionado",29543797034.1237,114356,258349.339204972,612,40
"34",52,"LICEO DOMINGO SANTA MARIA",NA,88669900,15,15101,"ARICA","Particular Subvencionado","URBANO",1,-18.46862249,-70.30337532,"Laica","$1.000 A $10.000","$1.000 A $10.000","Accesible",1,244,287,3886,0,"88669900",2272,81407867.28,NA,42720,3886,5000,5000,"1","1-Accesible-0-Particular Subvencionado","1","Accesible",0,"Particular Subvencionado",14295903632.3575,117605,121558.638088155,85,2
"35",56,"COLEGIO SAN MARCOS DE ARICA",NA,65378030,15,15101,"ARICA","Particular Subvencionado","URBANO",1,-18.47074988,-70.30482369,"Católica","GRATUITO","$50.001 A $100.000","Medianamente",1,285,296,894,0,"65378030",0,0,NA,42720,894,0,75000,"5","5-Medianamente-0-Particular Subvencionado","5","Medianamente",0,"Particular Subvencionado",72007237941.6913,140308,513208.355487151,118,56
"36",59,"COLEGIO SAN JORGE",5662561,NA,15,15101,"ARICA","Particular Pagado","URBANO",0,-18.50215,-70.24618,"Católica","MAS DE $100.000","MAS DE $100.000","No Accesible",1,292,325,537,0,NA,0,0,NA,42720,72111,1e+05,1e+05,"4","4-No Accesible-0-Particular Pagado","4","No Accesible",0,"Particular Pagado",16500082500,15120,1091275.29761905,38,47
"37",60,"COLEGIO ALEMAN DE ARICA",NA,76061480,15,15101,"ARICA","Particular Subvencionado","URBANO",0,-18.49203409,-70.2806874,"Laica","GRATUITO","$10.001 A $25.000","Accesible",1,271,272,873,0,"76061480",569,10193898.87375,NA,42720,873,0,17500,"2","2-Accesible-0-Particular Subvencionado","2","Accesible",0,"Particular Subvencionado",27179668282.2612,186875,145443.040975311,294,14
"38",67,"ABRAHAM LINCOLN SCHOOL",NA,76165446,15,15101,"ARICA","Particular Subvencionado","URBANO",0,-18.4812282,-70.3187928,"Católica","GRATUITO","$25.001 A $50.000","Medianamente",1,285,294,575,0,"76165446",0,0,NA,42720,575,0,37500,"3","3-Medianamente-0-Particular Subvencionado","3","Medianamente",0,"Particular Subvencionado",28232014674.1037,119292,236663.101248229,623,34
"39",69,"JUNIOR COLLEGE",9437148,NA,15,15101,"ARICA","Particular Pagado","URBANO",0,-18.463913,-70.2914399999999,"Laica","MAS DE $100.000","MAS DE $100.000","No Accesible",1,322,336,716,0,NA,0,0,NA,42720,72111,1e+05,1e+05,"4","4-No Accesible-0-Particular Pagado","4","No Accesible",0,"Particular Pagado",16500082500,15120,1091275.29761905,38,47
"40",70,"ESCUELA VALLE DE ESQUINA",NA,69251000,15,15102,"CAMARONES","Municipal","RURAL",0,-18.93621846,-69.53015865,"Otro","GRATUITO","GRATUITO","Accesible",1,NA,NA,9,0,"69251000",6,107492.7825,NA,88,88,0,0,"3","3-Accesible-0-Municipal","3","Accesible",0,"Municipal",1671461363.105,99590,16783.4256763229,1131,26
"41",72,"LICEO  VALLE DE CODPA",NA,69251000,15,15102,"CAMARONES","Municipal","RURAL",0,-18.83290069,-69.74458362,"Laica","GRATUITO","GRATUITO","Medianamente",1,226,224,47,0,"69251000",36,644956.695,NA,88,88,0,0,"3","3-Medianamente-0-Municipal","3","Medianamente",0,"Municipal",1694925487.55125,100738,16825.0857427311,1118,32
"42",73,"ESCUELA VALLE DE COBIJA",NA,69251000,15,15102,"CAMARONES","Municipal","RURAL",0,-18.73989188,-69.5832348099999,"Laica","GRATUITO","GRATUITO","No Accesible",1,NA,NA,2,0,"69251000",2,35830.9275,NA,88,88,0,0,"3","3-No Accesible-0-Municipal","3","No Accesible",0,"Municipal",1765725885.0225,101768,17350.5019753017,1112,38
"43",74,"ESCUELA VALLE DE CAMARONES",NA,69251000,15,15102,"CAMARONES","Municipal","RURAL",0,-19.00991613,-69.86014023,"Católica","GRATUITO","GRATUITO","Accesible",1,NA,NA,9,0,"69251000",9,161239.17375,NA,88,88,0,0,"3","3-Accesible-0-Municipal","3","Accesible",0,"Municipal",1671461363.105,99590,16783.4256763229,1131,26
