agno|codigo_bbdd|fecha_bbdd|grado|cod_reg|nom_reg|cod_deprov|nom_deprov|nalu_lect2b_deprov|prom_lect2b_deprov|dif_lect2b_deprov|sigdif_lect2b_deprov
2015|"final20160908v1"|20160908|"2b"|15|"REGIÓN ARICA - PARINACOTA"|151|"ARICA"|2880|250|-8|-1
2015|"final20160908v1"|20160908|"2b"|15|"REGIÓN ARICA - PARINACOTA"|152|"PARINACOTA"|13|220|14|0
2015|"final20160908v1"|20160908|"2b"|1|"REGIÓN DE TARAPACÁ"|11|"IQUIQUE"|4229|251|-1|0
2015|"final20160908v1"|20160908|"2b"|1|"REGIÓN DE TARAPACÁ"|14|"TAMARUGAL"|373|234|-10|-1
2015|"final20160908v1"|20160908|"2b"|2|"REGIÓN DE ANTOFAGASTA"|22|"EL LOA"|2556|256|-2|0
2015|"final20160908v1"|20160908|"2b"|2|"REGIÓN DE ANTOFAGASTA"|21|"ANTOFAGASTA"|5768|249|-1|0
2015|"final20160908v1"|20160908|"2b"|3|"REGIÓN DE ATACAMA"|31|"COPIAPÓ - CHAÑARAL"|3137|243|-10|-1
2015|"final20160908v1"|20160908|"2b"|3|"REGIÓN DE ATACAMA"|32|"HUASCO"|1009|252|-4|0
2015|"final20160908v1"|20160908|"2b"|4|"REGIÓN DE COQUIMBO"|43|"CHOAPA"|906|254|1|0
2015|"final20160908v1"|20160908|"2b"|4|"REGIÓN DE COQUIMBO"|41|"ELQUI"|6352|254|-2|0
2015|"final20160908v1"|20160908|"2b"|4|"REGIÓN DE COQUIMBO"|42|"LIMARÍ"|2287|253|1|0
2015|"final20160908v1"|20160908|"2b"|5|"REGIÓN DE VALPARAÍSO"|51|"QUILLOTA - PETORCA"|4412|249|-2|0
2015|"final20160908v1"|20160908|"2b"|5|"REGIÓN DE VALPARAÍSO"|54|"SAN ANTONIO"|1879|250|-3|0
2015|"final20160908v1"|20160908|"2b"|5|"REGIÓN DE VALPARAÍSO"|52|"SAN FELIPE - LOS ANDES"|3375|247|-3|0
2015|"final20160908v1"|20160908|"2b"|5|"REGIÓN DE VALPARAÍSO"|53|"VALPARAÍSO"|11484|251|-4|0
2015|"final20160908v1"|20160908|"2b"|6|"REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"|61|"CACHAPOAL"|8437|253|0|0
