agno|codigo_bbdd|fecha_bbdd|grado|cod_reg|nom_reg|cod_deprov|nom_deprov|nalu_lect2m_deprov|nalu_mate2m_deprov|nalu_soc2m_deprov|prom_lect2m_deprov|prom_mate2m_deprov|prom_soc2m_deprov|dif_lect2m_deprov|dif_mate2m_deprov|sigdif_lect2m_deprov|sigdif_mate2m_deprov
2015|"final20160908v1"|20160908|"2m"|15|"REGIÓN ARICA - PARINACOTA"|151|"ARICA"|2466|2471|2459|248|261|244|0|3|0|0
2015|"final20160908v1"|20160908|"2m"|15|"REGIÓN ARICA - PARINACOTA"|152|"PARINACOTA"|8|8|6|232|193|194|16|-22|0|0
2015|"final20160908v1"|20160908|"2m"|1|"REGIÓN DE TARAPACÁ"|11|"IQUIQUE"|3404|3488|3486|244|258|247|-4|1|0|0
2015|"final20160908v1"|20160908|"2m"|1|"REGIÓN DE TARAPACÁ"|14|"TAMARUGAL"|243|248|248|218|205|224|5|-7|0|0
2015|"final20160908v1"|20160908|"2m"|2|"REGIÓN DE ANTOFAGASTA"|22|"EL LOA"|2197|2249|2228|253|265|250|-5|-2|0|0
2015|"final20160908v1"|20160908|"2m"|2|"REGIÓN DE ANTOFAGASTA"|21|"ANTOFAGASTA"|4874|4959|4934|239|249|242|-14|-11|-1|-1
2015|"final20160908v1"|20160908|"2m"|3|"REGIÓN DE ATACAMA"|31|"COPIAPÓ - CHAÑARAL"|2524|2552|2547|236|242|237|-12|-14|-1|-1
2015|"final20160908v1"|20160908|"2m"|3|"REGIÓN DE ATACAMA"|32|"HUASCO"|788|813|812|238|237|235|-11|-5|-1|0
2015|"final20160908v1"|20160908|"2m"|4|"REGIÓN DE COQUIMBO"|43|"CHOAPA"|729|742|740|244|242|241|2|-1|0|0
2015|"final20160908v1"|20160908|"2m"|4|"REGIÓN DE COQUIMBO"|41|"ELQUI"|5689|5720|5730|250|266|253|-4|-3|0|0
2015|"final20160908v1"|20160908|"2m"|4|"REGIÓN DE COQUIMBO"|42|"LIMARÍ"|2100|2114|2103|252|255|247|-1|3|0|0
2015|"final20160908v1"|20160908|"2m"|5|"REGIÓN DE VALPARAÍSO"|51|"QUILLOTA - PETORCA"|3955|4022|4020|245|257|247|-4|1|0|0
2015|"final20160908v1"|20160908|"2m"|5|"REGIÓN DE VALPARAÍSO"|54|"SAN ANTONIO"|1643|1650|1648|250|253|248|-3|3|0|0
2015|"final20160908v1"|20160908|"2m"|5|"REGIÓN DE VALPARAÍSO"|52|"SAN FELIPE - LOS ANDES"|3264|3307|3317|247|255|245|-1|6|0|0
2015|"final20160908v1"|20160908|"2m"|5|"REGIÓN DE VALPARAÍSO"|53|"VALPARAÍSO"|10428|10659|10671|250|271|255|-6|0|-1|0
2015|"final20160908v1"|20160908|"2m"|6|"REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"|61|"CACHAPOAL"|7346|7462|7477|248|259|249|-3|0|0|0
2015|"final20160908v1"|20160908|"2m"|6|"REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"|63|"CARDENAL CARO"|256|291|288|244|242|242|-1|2|0|0
