agno|fecha_bbdd|codigo_bbdd|grado|cod_reg|nom_reg|cod_pro|nom_pro|cod_com|nom_com|cod_deprov|nom_deprov|nalu_lect4b_com|nalu_mate4b_com|prom_lect4b_com|prom_mate4b_com|dif_lect4b_com|dif_mate4b_com|sigdif_lect4b_com|sigdif_mate4b_com
2015|20160908|"final20160908v1"|"4b"|11|"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO"|2|"AISÉN"|1|"AISÉN"|1|"COYHAIQUE"|359|353|268|261|9|17|1|1
2015|20160908|"final20160908v1"|"4b"|5|"VALPARAÍSO"|6|"SAN ANTONIO"|13|"ALGARROBO"|2|"SAN ANTONIO"|151|151|258|241|8|-2|0|0
2015|20160908|"final20160908v1"|"4b"|13|"METROPOLITANA DE SANTIAGO"|5|"MELIPILLA"|43|"ALHUÉ"|7|"TALAGANTE"|69|68|260|244|4|6|0|0
2015|20160908|"final20160908v1"|"4b"|8|"BIOBÍO"|3|"BIOBÍO"|8|"ALTO BIOBÍO"|2|"BIOBÍO"|85|82|228|198|6|9|0|0
2015|20160908|"final20160908v1"|"4b"|3|"ATACAMA"|3|"HUASCO"|6|"ALTO DEL CARMEN"|2|"HUASCO"|61|58|263|238|-3|-8|0|0
2015|20160908|"final20160908v1"|"4b"|1|"TARAPACÁ"|1|"IQUIQUE"|1|"ALTO HOSPICIO"|1|"IQUIQUE"|1650|1654|256|249|7|6|1|0
2015|20160908|"final20160908v1"|"4b"|10|"LOS LAGOS"|2|"CHILOÉ"|1|"ANCUD"|1|"CHILOÉ"|553|554|270|258|2|2|0|0
2015|20160908|"final20160908v1"|"4b"|4|"COQUIMBO"|1|"ELQUI"|5|"ANDACOLLO"|2|"ELQUI"|119|140|263|253|-2|-3|0|0
2015|20160908|"final20160908v1"|"4b"|9|"LA ARAUCANÍA"|2|"MALLECO"|22|"ANGOL"|3|"MALLECO"|648|648|275|270|7|5|1|0
2015|20160908|"final20160908v1"|"4b"|2|"ANTOFAGASTA"|1|"ANTOFAGASTA"|1|"ANTOFAGASTA"|1|"ANTOFAGASTA"|4586|4672|267|259|5|5|0|0
