agno|codigo_bbdd|fecha_bbdd|grado|cod_reg|nom_reg|cod_deprov|nom_deprov|nalu_lect4b_deprov|nalu_mate4b_deprov|prom_lect4b_deprov|prom_mate4b_deprov|dif_lect4b_deprov|dif_mate4b_deprov|sigdif_lect4b_deprov|sigdif_mate4b_deprov
2015|"final20160908v1"|20160908|"4b"|15|"REGIÓN ARICA - PARINACOTA"|151|"ARICA"|2802|2811|269|265|5|9|0|1
2015|"final20160908v1"|20160908|"4b"|15|"REGIÓN ARICA - PARINACOTA"|152|"PARINACOTA"|34|32|243|227|-4|-27|0|-1
2015|"final20160908v1"|20160908|"4b"|1|"REGIÓN DE TARAPACÁ"|11|"IQUIQUE"|4078|4077|263|255|4|4|0|0
2015|"final20160908v1"|20160908|"4b"|1|"REGIÓN DE TARAPACÁ"|14|"TAMARUGAL"|354|349|236|227|-4|0|0|0
2015|"final20160908v1"|20160908|"4b"|2|"REGIÓN DE ANTOFAGASTA"|22|"EL LOA"|2413|2424|264|262|2|7|0|1
2015|"final20160908v1"|20160908|"4b"|2|"REGIÓN DE ANTOFAGASTA"|21|"ANTOFAGASTA"|5327|5411|264|255|4|3|0|0
2015|"final20160908v1"|20160908|"4b"|3|"REGIÓN DE ATACAMA"|31|"COPIAPÓ - CHAÑARAL"|2978|2977|257|244|0|-3|0|0
2015|"final20160908v1"|20160908|"4b"|3|"REGIÓN DE ATACAMA"|32|"HUASCO"|977|972|261|251|-2|-5|0|0
2015|"final20160908v1"|20160908|"4b"|4|"REGIÓN DE COQUIMBO"|43|"CHOAPA"|845|842|258|246|3|6|0|0
2015|"final20160908v1"|20160908|"4b"|4|"REGIÓN DE COQUIMBO"|41|"ELQUI"|6168|6232|266|261|0|2|0|0
2015|"final20160908v1"|20160908|"4b"|4|"REGIÓN DE COQUIMBO"|42|"LIMARÍ"|2262|2262|264|252|3|2|0|0
2015|"final20160908v1"|20160908|"4b"|5|"REGIÓN DE VALPARAÍSO"|51|"QUILLOTA - PETORCA"|4200|4198|264|258|2|6|0|1
2015|"final20160908v1"|20160908|"4b"|5|"REGIÓN DE VALPARAÍSO"|54|"SAN ANTONIO"|1916|1914|263|256|2|5|0|0
2015|"final20160908v1"|20160908|"4b"|5|"REGIÓN DE VALPARAÍSO"|52|"SAN FELIPE - LOS ANDES"|3180|3219|259|248|0|5|0|0
2015|"final20160908v1"|20160908|"4b"|5|"REGIÓN DE VALPARAÍSO"|53|"VALPARAÍSO"|11186|11254|263|258|0|3|0|0
2015|"final20160908v1"|20160908|"4b"|6|"REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"|61|"CACHAPOAL"|8191|8217|263|258|2|6|0|1
