agno|fecha_bbdd|codigo_bbdd|grado|cod_reg|nom_reg|cod_pro|nom_pro|cod_com|nom_com|cod_deprov|nom_deprov|nalu_lect6b_com|nalu_mate6b_com|nalu_soc6b_com|prom_lect6b_com|prom_mate6b_com|prom_soc6b_com|dif_lect6b_com|dif_mate6b_com|dif_soc6b_com|sigdif_lect6b_com|sigdif_mate6b_com|sigdif_soc6b_com
2015|20160908|"final20160908v1"|"6b"|11|"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO"|2|"AISÉN"|1|"AISÉN"|1|"COYHAIQUE"|365|361|349|238|244|241|1|2||0|0|
2015|20160908|"final20160908v1"|"6b"|5|"VALPARAÍSO"|6|"SAN ANTONIO"|13|"ALGARROBO"|2|"SAN ANTONIO"|142|124|134|237|234|239|2|-1||0|0|
2015|20160908|"final20160908v1"|"6b"|13|"METROPOLITANA DE SANTIAGO"|5|"MELIPILLA"|43|"ALHUÉ"|7|"TALAGANTE"|67|58|51|218|227|226|0|19||0|1|
2015|20160908|"final20160908v1"|"6b"|8|"BIOBÍO"|3|"BIOBÍO"|8|"ALTO BIOBÍO"|2|"BIOBÍO"|74|76|53|211|195|214|0|-1||0|0|
2015|20160908|"final20160908v1"|"6b"|3|"ATACAMA"|3|"HUASCO"|6|"ALTO DEL CARMEN"|2|"HUASCO"|38|38|34|237|218|253|4|0||0|0|
2015|20160908|"final20160908v1"|"6b"|1|"TARAPACÁ"|1|"IQUIQUE"|1|"ALTO HOSPICIO"|1|"IQUIQUE"|1665|1665|1665|239|240|237|1|-4||0|0|
2015|20160908|"final20160908v1"|"6b"|10|"LOS LAGOS"|2|"CHILOÉ"|1|"ANCUD"|1|"CHILOÉ"|553|548|471|244|246|247|-3|-7||0|0|
2015|20160908|"final20160908v1"|"6b"|4|"COQUIMBO"|1|"ELQUI"|5|"ANDACOLLO"|2|"ELQUI"|123|109|119|257|238|254|8|-21||0|-1|
2015|20160908|"final20160908v1"|"6b"|9|"LA ARAUCANÍA"|2|"MALLECO"|22|"ANGOL"|3|"MALLECO"|643|647|628|250|252|250|5|2||0|0|
2015|20160908|"final20160908v1"|"6b"|2|"ANTOFAGASTA"|1|"ANTOFAGASTA"|1|"ANTOFAGASTA"|1|"ANTOFAGASTA"|4671|4676|4662|249|247|248|9|3||1|0|
2015|20160908|"final20160908v1"|"6b"|8|"BIOBÍO"|3|"BIOBÍO"|9|"ANTUCO"|2|"BIOBÍO"|59|57|56|242|245|238|23|18||1|1|
2015|20160908|"final20160908v1"|"6b"|12|"MAGALLANES Y DE LA ANTÁRTICA CHILENA"|2|"ANTÁRTICA CHILENA"|1|"ANTÁRTICA"|1|"MAGALLANES"||||||||||||
2015|20160908|"final20160908v1"|"6b"|8|"BIOBÍO"|2|"ARAUCO"|1|"ARAUCO"|1|"ARAUCO"|469|482|444|251|252|250|7|-1||1|0|
2015|20160908|"final20160908v1"|"6b"|15|"ARICA Y PARINACOTA"|1|"ARICA"|1|"ARICA"|1|"ARICA"|2763|2764|2745|247|252|247|6|1||0|0|
2015|20160908|"final20160908v1"|"6b"|13|"METROPOLITANA DE SANTIAGO"|4|"MAIPO"|34|"BUIN"|6|"SANTIAGO SUR"|1229|1134|1211|241|249|245|8|6||1|0|
2015|20160908|"final20160908v1"|"6b"|8|"BIOBÍO"|4|"ÑUBLE"|34|"BULNES"|4|"ÑUBLE"|263|264|251|236|231|241|10|3||1|0|
2015|20160908|"final20160908v1"|"6b"|5|"VALPARAÍSO"|4|"PETORCA"|1|"CABILDO"|1|"QUILLOTA - PETORCA"|287|264|265|237|242|244|-7|1||0|0|
2015|20160908|"final20160908v1"|"6b"|12|"MAGALLANES Y DE LA ANTÁRTICA CHILENA"|2|"ANTÁRTICA CHILENA"|2|"CABO DE HORNOS"|1|"MAGALLANES"|35|35|34|252|259|262|19|20||1|1|
2015|20160908|"final20160908v1"|"6b"|8|"BIOBÍO"|3|"BIOBÍO"|10|"CABRERO"|2|"BIOBÍO"|366|365|343|232|246|228|-2|2||0|0|
2015|20160908|"final20160908v1"|"6b"|2|"ANTOFAGASTA"|2|"EL LOA"|7|"CALAMA"|2|"EL LOA"|2337|2384|2332|246|245|246|5|3||0|0|
2015|20160908|"final20160908v1"|"6b"|10|"LOS LAGOS"|1|"LLANQUIHUE"|11|"CALBUCO"|2|"LLANQUIHUE"|517|524|376|240|237|243|8|2||1|0|
2015|20160908|"final20160908v1"|"6b"|3|"ATACAMA"|1|"COPIAPÓ"|1|"CALDERA"|1|"COPIAPÓ - CHAÑARAL"|248|252|248|222|232|230|-4|-2||0|0|
2015|20160908|"final20160908v1"|"6b"|5|"VALPARAÍSO"|5|"QUILLOTA"|2|"CALERA"|1|"QUILLOTA - PETORCA"|748|625|714|249|254|247|8|9||1|1|
2015|20160908|"final20160908v1"|"6b"|13|"METROPOLITANA DE SANTIAGO"|4|"MAIPO"|35|"CALERA DE TANGO"|6|"SANTIAGO SUR"|339|326|334|247|252|251|6|-2||0|0|
2015|20160908|"final20160908v1"|"6b"|5|"VALPARAÍSO"|3|"LOS ANDES"|19|"CALLE LARGA"|3|"SAN FELIPE - LOS ANDES"|154|146|141|242|237|243|5|3||0|0|
2015|20160908|"final20160908v1"|"6b"|15|"ARICA Y PARINACOTA"|1|"ARICA"|2|"CAMARONES"|1|"ARICA"|6|7|0|213|199||-23|15||0|0|
2015|20160908|"final20160908v1"|"6b"|1|"TARAPACÁ"|4|"TAMARUGAL"|3|"CAMIÑA"|2|"TAMARUGAL"|14|15|0|262|278||23|43||1|1|
2015|20160908|"final20160908v1"|"6b"|4|"COQUIMBO"|2|"CHOAPA"|1|"CANELA"|1|"CHOAPA"|109|108|79|241|240|240|-7|1||0|0|
