agno|fecha_bbdd|codigo_bbdd|grado|cod_reg|nom_reg|cod_pro|nom_pro|cod_com|nom_com|cod_deprov|nom_deprov|nalu_lect8b_com|nalu_mate8b_com|nalu_nat8b_com|prom_lect8b_com|prom_mate8b_com|prom_nat8b_com|dif_lect8b_com|dif_mate8b_com|dif_nat8b_com|sigdif_lect8b_com|sigdif_mate8b_com|sigdif_nat8b_com
2015|20160908|"final20160908v1"|"8b"|11|"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO"|2|"AISÉN"|1|"AISÉN"|1|"COYHAIQUE"|307|312|312|237|257|263|3|7|-9|0|0|0
2015|20160908|"final20160908v1"|"8b"|5|"VALPARAÍSO"|6|"SAN ANTONIO"|13|"ALGARROBO"|2|"SAN ANTONIO"|146|146|146|235|251|257|-1|2|-13|0|0|-1
2015|20160908|"final20160908v1"|"8b"|13|"METROPOLITANA DE SANTIAGO"|5|"MELIPILLA"|43|"ALHUÉ"|7|"TALAGANTE"|67|67|67|213|236|240|25|15|-14|1|1|-1
2015|20160908|"final20160908v1"|"8b"|8|"BIOBÍO"|3|"BIOBÍO"|8|"ALTO BIOBÍO"|2|"BIOBÍO"|68|68|67|207|200|218|2|-4|-9|0|0|0
2015|20160908|"final20160908v1"|"8b"|3|"ATACAMA"|3|"HUASCO"|6|"ALTO DEL CARMEN"|2|"HUASCO"|54|52|50|226|227|244|8|5|-2|0|0|0
2015|20160908|"final20160908v1"|"8b"|1|"TARAPACÁ"|1|"IQUIQUE"|1|"ALTO HOSPICIO"|1|"IQUIQUE"|1542|1557|1554|234|249|252|5|4|-7|0|0|0
2015|20160908|"final20160908v1"|"8b"|10|"LOS LAGOS"|2|"CHILOÉ"|1|"ANCUD"|1|"CHILOÉ"|577|579|577|241|257|258|-4|-1|-7|0|0|0
2015|20160908|"final20160908v1"|"8b"|4|"COQUIMBO"|1|"ELQUI"|5|"ANDACOLLO"|2|"ELQUI"|130|129|133|243|255|258|9|10|-14|0|0|-1
2015|20160908|"final20160908v1"|"8b"|9|"LA ARAUCANÍA"|2|"MALLECO"|22|"ANGOL"|3|"MALLECO"|711|725|715|250|266|266|7|6|-9|1|0|-1
2015|20160908|"final20160908v1"|"8b"|2|"ANTOFAGASTA"|1|"ANTOFAGASTA"|1|"ANTOFAGASTA"|1|"ANTOFAGASTA"|4778|4797|4815|244|257|262|3|-1|-7|0|0|-1
2015|20160908|"final20160908v1"|"8b"|8|"BIOBÍO"|3|"BIOBÍO"|9|"ANTUCO"|2|"BIOBÍO"|40|39|39|220|235|255|4|-9|-4|0|0|0
2015|20160908|"final20160908v1"|"8b"|12|"MAGALLANES Y DE LA ANTÁRTICA CHILENA"|2|"ANTÁRTICA CHILENA"|1|"ANTÁRTICA"|1|"MAGALLANES"||||||||||||
2015|20160908|"final20160908v1"|"8b"|8|"BIOBÍO"|2|"ARAUCO"|1|"ARAUCO"|1|"ARAUCO"|505|518|519|243|255|253|3|0|-11|0|0|-1
2015|20160908|"final20160908v1"|"8b"|15|"ARICA Y PARINACOTA"|1|"ARICA"|1|"ARICA"|1|"ARICA"|2712|2748|2744|248|268|269|6|6|-1|1|1|0
2015|20160908|"final20160908v1"|"8b"|13|"METROPOLITANA DE SANTIAGO"|4|"MAIPO"|34|"BUIN"|6|"SANTIAGO SUR"|1179|1194|1191|235|251|259|-3|-6|-8|0|0|-1
2015|20160908|"final20160908v1"|"8b"|8|"BIOBÍO"|4|"ÑUBLE"|34|"BULNES"|4|"ÑUBLE"|267|268|268|235|248|253|5|5|-9|0|0|0
2015|20160908|"final20160908v1"|"8b"|5|"VALPARAÍSO"|4|"PETORCA"|1|"CABILDO"|1|"QUILLOTA - PETORCA"|274|282|280|231|248|253|2|1|-13|0|0|-1
2015|20160908|"final20160908v1"|"8b"|12|"MAGALLANES Y DE LA ANTÁRTICA CHILENA"|2|"ANTÁRTICA CHILENA"|2|"CABO DE HORNOS"|1|"MAGALLANES"|23|25|25|255|261|274|21|21|0|1|1|0
2015|20160908|"final20160908v1"|"8b"|8|"BIOBÍO"|3|"BIOBÍO"|10|"CABRERO"|2|"BIOBÍO"|344|346|348|230|251|250|-5|-5|-9|0|0|-1
2015|20160908|"final20160908v1"|"8b"|2|"ANTOFAGASTA"|2|"EL LOA"|7|"CALAMA"|2|"EL LOA"|2279|2309|2305|245|258|262|6|3|-3|1|0|0
2015|20160908|"final20160908v1"|"8b"|10|"LOS LAGOS"|1|"LLANQUIHUE"|11|"CALBUCO"|2|"LLANQUIHUE"|462|466|464|239|245|259|7|3|-5|0|0|0
2015|20160908|"final20160908v1"|"8b"|3|"ATACAMA"|1|"COPIAPÓ"|1|"CALDERA"|1|"COPIAPÓ - CHAÑARAL"|256|253|253|230|246|248|10|5|-11|1|0|-1
2015|20160908|"final20160908v1"|"8b"|5|"VALPARAÍSO"|5|"QUILLOTA"|2|"CALERA"|1|"QUILLOTA - PETORCA"|747|743|744|243|260|263|9|3|-8|1|0|-1
2015|20160908|"final20160908v1"|"8b"|13|"METROPOLITANA DE SANTIAGO"|4|"MAIPO"|35|"CALERA DE TANGO"|6|"SANTIAGO SUR"|328|332|332|237|262|267|-2|-1|-9|0|0|-1
2015|20160908|"final20160908v1"|"8b"|5|"VALPARAÍSO"|3|"LOS ANDES"|19|"CALLE LARGA"|3|"SAN FELIPE - LOS ANDES"|171|170|170|232|249|255|-8|-8|-14|0|0|-1
2015|20160908|"final20160908v1"|"8b"|15|"ARICA Y PARINACOTA"|1|"ARICA"|2|"CAMARONES"|1|"ARICA"|4|4|4|228|217|235||||||
2015|20160908|"final20160908v1"|"8b"|1|"TARAPACÁ"|4|"TAMARUGAL"|3|"CAMIÑA"|2|"TAMARUGAL"|14|13|13|232|246|234|-2|9|-36|0|0|-1
2015|20160908|"final20160908v1"|"8b"|4|"COQUIMBO"|2|"CHOAPA"|1|"CANELA"|1|"CHOAPA"|121|123|123|242|244|255|3|-12|2|0|-1|0
2015|20160908|"final20160908v1"|"8b"|9|"LA ARAUCANÍA"|1|"CAUTÍN"|1|"CARAHUE"|1|"CAUTÍN NORTE"|355|351|353|244|243|255|5|2|-3|0|0|0
2015|20160908|"final20160908v1"|"8b"|5|"VALPARAÍSO"|6|"SAN ANTONIO"|14|"CARTAGENA"|2|"SAN ANTONIO"|246|243|242|236|251|248|1|-4|-21|0|0|-1
2015|20160908|"final20160908v1"|"8b"|5|"VALPARAÍSO"|1|"VALPARAÍSO"|29|"CASABLANCA"|4|"VALPARAÍSO"|342|333|333|241|254|260|7|0|-9|0|0|-1
2015|20160908|"final20160908v1"|"8b"|10|"LOS LAGOS"|2|"CHILOÉ"|2|"CASTRO"|1|"CHILOÉ"|659|669|672|243|260|265|2|1|-10|0|0|-1
