agno|codigo_bbdd|fecha_bbdd|grado|cod_reg|nom_reg|cod_deprov|nom_deprov|nalu_lect8b_deprov|nalu_mate8b_deprov|nalu_nat8b_deprov|prom_lect8b_deprov|prom_mate8b_deprov|prom_nat8b_deprov|dif_lect8b_deprov|dif_mate8b_deprov|dif_nat8b_deprov|sigdif_lect8b_deprov|sigdif_mate8b_deprov|sigdif_nat8b_deprov
2015|"final20160908v1"|20160908|"8b"|1|"REGIÓN DE TARAPACÁ"|11|"IQUIQUE"|4004|4047|4047|240|257|260|4|4|-5|0|0|0
2015|"final20160908v1"|20160908|"8b"|1|"REGIÓN DE TARAPACÁ"|14|"TAMARUGAL"|287|282|282|222|233|238|10|0|-11|1|0|-1
2015|"final20160908v1"|20160908|"8b"|2|"REGIÓN DE ANTOFAGASTA"|21|"ANTOFAGASTA"|5537|5548|5548|240|255|259|0|0|-8|0|0|-1
2015|"final20160908v1"|20160908|"8b"|2|"REGIÓN DE ANTOFAGASTA"|22|"EL LOA"|2360|2393|2393|245|257|261|6|2|-3|1|0|0
2015|"final20160908v1"|20160908|"8b"|3|"REGIÓN DE ATACAMA"|31|"COPIAPÓ - CHAÑARAL"|2869|2914|2914|235|250|254|3|0|-9|0|0|-1
2015|"final20160908v1"|20160908|"8b"|3|"REGIÓN DE ATACAMA"|32|"HUASCO"|949|954|954|242|249|254|10|1|-2|1|0|0
2015|"final20160908v1"|20160908|"8b"|4|"REGIÓN DE COQUIMBO"|41|"ELQUI"|6312|6348|6348|241|259|264|3|-2|-8|0|0|-1
2015|"final20160908v1"|20160908|"8b"|4|"REGIÓN DE COQUIMBO"|42|"LIMARÍ"|2398|2392|2392|244|253|260|2|0|-7|0|0|-1
2015|"final20160908v1"|20160908|"8b"|4|"REGIÓN DE COQUIMBO"|43|"CHOAPA"|882|880|880|235|249|258|-2|-2|-5|0|0|0
2015|"final20160908v1"|20160908|"8b"|5|"REGIÓN DE VALPARAÍSO"|51|"QUILLOTA - PETORCA"|4397|4411|4411|240|257|262|5|2|-8|0|0|-1
2015|"final20160908v1"|20160908|"8b"|5|"REGIÓN DE VALPARAÍSO"|52|"SAN FELIPE - LOS ANDES"|3367|3372|3372|242|257|262|4|3|-7|0|0|-1
2015|"final20160908v1"|20160908|"8b"|5|"REGIÓN DE VALPARAÍSO"|53|"VALPARAÍSO"|12075|12155|12155|240|264|266|0|1|-10|0|0|-1
2015|"final20160908v1"|20160908|"8b"|5|"REGIÓN DE VALPARAÍSO"|54|"SAN ANTONIO"|1914|1925|1925|240|253|256|1|0|-11|0|0|-1
2015|"final20160908v1"|20160908|"8b"|6|"REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"|61|"CACHAPOAL"|8326|8385|8385|246|262|268|6|2|-2|1|0|0
2015|"final20160908v1"|20160908|"8b"|6|"REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"|62|"COLCHAGUA"|2962|2965|2965|249|259|265|5|2|-8|0|0|-1
2015|"final20160908v1"|20160908|"8b"|6|"REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"|63|"CARDENAL CARO"|485|488|488|244|252|260|8|-2|-4|1|0|0
2015|"final20160908v1"|20160908|"8b"|7|"REGIÓN DEL MAULE"|71|"CURICÓ"|3627|3623|3623|251|268|273|6|5|-3|1|0|0
2015|"final20160908v1"|20160908|"8b"|7|"REGIÓN DEL MAULE"|72|"TALCA"|5077|5122|5122|248|267|269|7|3|-7|1|0|-1
2015|"final20160908v1"|20160908|"8b"|7|"REGIÓN DEL MAULE"|73|"LINARES"|3517|3517|3517|251|263|268|8|6|-2|1|0|0
